Relations,Labels,Templates,We don't know Y,Plural Templates,Checked by German Speaker?,
http://www.wikidata.org/entity/P1001,gehört zum Zuständigkeitsbereich,X gehört zum Zuständigkeitsbereich von Y,Ich weiß nicht wer für X zuständig ist.,X gehört zum Zuständigkeitsbereich von Y,TRUE,Instructions:
http://www.wikidata.org/entity/P101,Arbeitsgebiet,Die Disziplin von X ist Y.,Ich kenne die Disziplin von X nicht.,Die Disziplinen von X sind Y.,TRUE,You can enter the Wikidata links in your browser to get more information.
http://www.wikidata.org/entity/P102,Parteizugehörigkeit,X ist Mitglied der Y.,Ich weiß nicht zu welcher Partei X gehört.,X ist Mitglied der Y.,TRUE,Use article(X) or article(Y) if you want to get the article of an entity.
http://www.wikidata.org/entity/P1027,verliehen von,X wird von Y verliehen.,"Ich weiß nicht, von wem X verliehen wurde.",X wird von Y verliehen.,TRUE,
http://www.wikidata.org/entity/P1028,gestiftet von,X wurde von Y gespendet.,"Ich weiß nicht, wer X gespendet hat.",X wurde von Y gespendet.,TRUE,
http://www.wikidata.org/entity/P1029,Mannschaftsmitglied,Y ist ein Mannschaftsmitglied von X.,Ich kenne keine Mannschaftsmitglieder von X.,Y sind Mannschaftsmitglieder von X.,TRUE,
http://www.wikidata.org/entity/P103,Muttersprache,Y ist eine Muttersprache von X.,Ich kenne die Muttersprachen von X nicht.,Y sind die Muttersprachen von X,TRUE,
http://www.wikidata.org/entity/P1037,Leiter,Y verwaltet X.,"Ich weiß nicht, wer X verwaltet.",Y leiten X,TRUE,
http://www.wikidata.org/entity/P1038,Verwandte,X ist verwandt mit Y,Ich kenne keine Verwandten von X.,X ist verwandt Y,TRUE,
http://www.wikidata.org/entity/P1040,Filmeditor,Y ist der Filmeditor von X.,Ich kenne keinen Filmeditor von X.,Y sind Filmeditoren von Y.,TRUE,
http://www.wikidata.org/entity/P1050,Erkrankung,X hat die Erkrankung Y.,Ich kenne die Erkrankung von X nicht.,X hat die Erkrankungen Y.,TRUE,
http://www.wikidata.org/entity/P1056,Produkt,X produziert Y,"Ich weiß nicht, was X produziert.",X produziert Y,TRUE,
http://www.wikidata.org/entity/P1057,Chromosom,X liegt auf Chromosom Y.,"Ich weiß nicht, wo X sich befindet.",X liegt auf den Chromosomen Y.,TRUE,
http://www.wikidata.org/entity/P106,Tätigkeit,Y ist die Tätigkeit von X.,Ich kenne die Tätigkeit von X nicht.,Y sind Tätigkeiten von X.,TRUE,
http://www.wikidata.org/entity/P1064,Spurweite,Y ist eine Spurweite von X.,Ich kenne die Spurweite von X nicht.,Y sind die Spurweiten von X.,TRUE,
http://www.wikidata.org/entity/P1066,Schüler von,X ist ein Schüler von Y,"Ich weiß nicht, wessen Schüler X ist.",X ist ein Schüler von Y.,TRUE,
http://www.wikidata.org/entity/P1071,Herstellungsort,X wird schließlich in Y montiert.,"Ich weiß nicht, wo X schließlich montiert wird.",X wird schließlich in Y montiert.,TRUE,
http://www.wikidata.org/entity/P108,Arbeitgeber,Y ist der Arbeitgeber von X.,"Ich weiß nicht, wer Arbeitsgeber von X ist.",Y sind die Arbeitgeber von X.,TRUE,
http://www.wikidata.org/entity/P1080,aus fiktivem Universum,X stammt aus dem fiktiven Universum von Y,"Ich weiß nicht, von welchem fiktiven Universum X stammt.",X stammt aus dem fiktiven Universum von Y.,TRUE,
http://www.wikidata.org/entity/P110,Illustrator,Y ist ein Illustrator von X.,"Ich weiß nicht, wer Illustrator von X ist.",Y sind Illustratoren von X.,TRUE,
http://www.wikidata.org/entity/P112,Gründer,X wurde von Y gegründet.,"Ich weiß nicht, wer X gegründet hat.",X wurde von Y gegründet.,TRUE,
http://www.wikidata.org/entity/P113,Luftfahrt-Drehkreuz,Y ist ein Airline-Drehkreuz von X.,Ich kenne den Airline-Drehkreuz von X nicht.,Y sind Airline-Drehkreuze von X.,TRUE,
http://www.wikidata.org/entity/P1142,politische Ideologie,Y ist eine politische Ideologie von X.,Ich kenne die politische Ideologie von X nicht.,Y sind politische Ideologien von X.,TRUE,
http://www.wikidata.org/entity/P115,Stadion,Y ist ein Heimatort von X.,Ich kenne den Heimatort von X nicht.,Y sindHeimatorte von X.,TRUE,
http://www.wikidata.org/entity/P118,Liga,X war in der Y-Liga.,"Ich weiß nicht, in welcher Liga X war.",X war in den Y-Ligen.,TRUE,
http://www.wikidata.org/entity/P119,Begräbnisort,Die Grabstätte von X ist Y.,"Ich weiß nicht, wo X vergraben ist.",Die Grabstätten von X sind Y.,TRUE,
http://www.wikidata.org/entity/P1192,Umsteigemöglichkeiten,X verbindet mit Y,Ich kenne keine Verbindungen zu/von X.,X verbindet mit Y,TRUE,
http://www.wikidata.org/entity/P1196,Todesart,X starb wegen Y.,"Ich weiß nicht, warum X gestorben ist.",X starb wegen Y.,TRUE,
http://www.wikidata.org/entity/P121,eingesetztes Objekt,X betätigt Y,"Ich weiß nicht, was X betätigt.",X betätigt Y,TRUE,
http://www.wikidata.org/entity/P122,Regierungsform,Eine grundlegende Form der Regierung in X ist Y.,Ich kenne die Regierungsform in X nicht.,Grundlegende Formen der Regierung in X sind Y.,TRUE,
http://www.wikidata.org/entity/P123,Verlag,Y ist der Herausgeber von X.,"Ich weiß nicht, wer X veröffentlicht hat.",Y sind die Herausgeber von X.,TRUE,
http://www.wikidata.org/entity/P126,Betreuer,X wird von Y gepflegt.,"Ich weiß nicht, wer X pflegt.",X wird von Y gepflegt.,TRUE,
http://www.wikidata.org/entity/P127,Eigentümer,Y ist der Eigentümer von X.,"Ich weiß nicht, wem X gehört.",Y sind die Eigentümer von X.,TRUE,
http://www.wikidata.org/entity/P129,interagiert physikalisch mit,X interagiert physisch mit Y,"Ich weiß nicht, wer physisch mit X interagiert.",X interagiert physisch mit Y,TRUE,
http://www.wikidata.org/entity/P1303,Instrument,X spielt Y,"Ich weiß nicht, welche Instrumente X spielt.",X spielt Y,TRUE,
http://www.wikidata.org/entity/P131,liegt in der Verwaltungseinheit,X befindet sich in Y,"Ich weiß nicht, wo sich X befindet.",X befindet sich in Y,TRUE,
http://www.wikidata.org/entity/P1313,oberstes Regierungsamt,Das oberste Regierungsamt von X wird Y genannt.,"Ich weiß nicht, wie das oberste Regierungsamt von X genannt wird.",Die obersten Regierungsämter von X werden Y genannt.,TRUE,
http://www.wikidata.org/entity/P1340,Augenfarbe,Die Augenfarbe von X ist Y.,Ich kenne die Augenfarbe von X nicht.,Die Augenfarben von X sind Y.,TRUE,
http://www.wikidata.org/entity/P1344,Teilnehmer an,X ist ein Teilnehmer an Y,"Ich weiß nicht, woran X teilnimmt.",X ist ein Teilnehmer an Y,TRUE,
http://www.wikidata.org/entity/P1346,Sieger,X wird durch Y gewonnen.,"Ich weiß nicht, wodurch X gewonnen wird.",X wird durch Y gewonnen.,TRUE,
http://www.wikidata.org/entity/P135,Bewegung,X war Teil der Bewegung Y.,"Ich weiß nicht, ob X Teil der Bewegung war. ",X war Teil der Bewegungen Y.,TRUE,
http://www.wikidata.org/entity/P136,Genre,Das Genre von X ist Y.,Ich kenne das Genre von X nicht.,Die Genre von X sind Y.,TRUE,
http://www.wikidata.org/entity/P137,Betreiber,Y ist ein Betreiber von X,"Ich weiß nicht, wer Betreiber von X ist.",Y sind Betreiber von X,TRUE,
http://www.wikidata.org/entity/P1376,Hauptstadt von,X ist eine Hauptstadt von Y,"Ich weiß nicht, wovon X die Hauptstadt ist.",X ist eine Hauptstadt von Y,TRUE,
http://www.wikidata.org/entity/P138,benannt nach,X wurde nach Y benannt.,"Ich weiß nicht, nach was X genannt wurde.",X wurde nach Y benannt.,TRUE,
http://www.wikidata.org/entity/P1382,teilweise übereinstimmend mit,X ist teilweise deckungsgleich mit Y,"Ich weiß nicht, mit was X teilweise übereinstimmt.",X ist teilweise deckungsgleich mit Y,TRUE,
http://www.wikidata.org/entity/P1383,enthält Siedlung,X enthält die Abrechnung Y,"Ich weiß nicht, welche Abrechnung X enthält.",X enthält die Abrechnungen Y,TRUE,
http://www.wikidata.org/entity/P1389,Produktzertifikat,X hat eine Produktzertifizierung von Y,"Ich weiß nicht, welche Produktzertifizierungen X hat?",X hat eine Produktzertifizierung von Y,TRUE,
http://www.wikidata.org/entity/P1399,verurteilt wegen,X wurde wegen Y für schuldig befunden.,Ich weiß nichts von einer Verurteilung von X.,X wurde wegen Y für schuldig befunden.,TRUE,
http://www.wikidata.org/entity/P140,Religionszugehörigkeit,Y ist die Religion von X.,Ich kenne die Religion von X nicht.,Y sind die Religionen von X.,TRUE,
http://www.wikidata.org/entity/P1403,Erstkombination,Y ist ein Protonym von X,Ich kenne das Protonym von X nicht.,Y sind Protonyme von X,TRUE,
http://www.wikidata.org/entity/P1408,Stadt der Lizenz,"X ist berechtigt, an Y zu senden.","Ich weiß nicht, ob X berechtigt ist zu senden.","X ist berechtigt, an Y zu senden.",TRUE,
http://www.wikidata.org/entity/P1411,nominiert für,X ist nominiert für Y,Ich kenne keine der Nominierungen von X.,X ist nominiert für Y,TRUE,
http://www.wikidata.org/entity/P1412,gesprochene oder publizierte Sprachen,X spricht die Sprache Y.,"Ich weiß nicht, welche Sprache X spricht.",X spricht die Sprachen Y,TRUE,
http://www.wikidata.org/entity/P1416,Zugehörigkeit zu,X ist mit Y verbunden.,"Ich weiß nicht, welche Affinitäten X hat.",X ist mit Y verbunden.,TRUE,
http://www.wikidata.org/entity/P1427,geografischer Startpunkt,Y ist der Startpunkt von X.,Ich kenne den Ausgangspunkt von X nicht.,Y sind die Startpunkte von X.,TRUE,
http://www.wikidata.org/entity/P1431,Produktionsleiter,Y ist der Produktionsleiter von X.,"Ich weiß nicht, wer der Produktionsleiter von X ist.",Y sind die Produktionsleiter von X.,TRUE,
http://www.wikidata.org/entity/P1433,veröffentlicht in,X wurde in Y veröffentlicht.,"Ich weiß nicht, wo X veröffentlicht wurde.",X wurde in Y veröffentlicht.,TRUE,
http://www.wikidata.org/entity/P1434,beschreibt fiktives Universum,X geschieht in einem fiktiven Universum Y.,"Ich weiß nicht, in welchem fiktiven Universum X stattfindet.",X beschreibt fiktive Universen Y.,TRUE,
http://www.wikidata.org/entity/P1435,Schutzkategorie,Y ist die Heimatbezeichnung für X.,Ich kenne die Erbenbezeichnung für X nicht.,Y sind die Heimatbezeichnungen für X.,TRUE,
http://www.wikidata.org/entity/P144,Vorlage,X basiert auf Y.,"Ich weiß nicht, worauf X basiert.",X basiert auf Y.,TRUE,
http://www.wikidata.org/entity/P1441,kommt vor in,X ist in Y vorhanden.,"Ich weiß nicht, wo X vorhanden ist.",X ist in Y vorhanden.,TRUE,
http://www.wikidata.org/entity/P1444,geografischer Endpunkt,Der Zielpunkt von X ist Y.,"Ich weiß nicht, was das Ziel von X ist.",Die Zielpunkte von X sind Y.,TRUE,
http://www.wikidata.org/entity/P1445,fiktives Universum wird beschrieben in,X ist ein fiktives Universum von Y.,"Ich weiß nicht, in welchem fiktiven Universum X beschrieben ist.",X ist ein fiktives Universum von Y.,TRUE,
http://www.wikidata.org/entity/P1454,Rechtsform,Rechtsform von X ist Y.,Ich kenne die Rechtsform von X nicht.,Rechtsform von X sind Y.,TRUE,
http://www.wikidata.org/entity/P1462,standardisiert von,Y erhält X.,"Ich weiß nicht, wer X enthält.",Y erhalten X.,TRUE,
http://www.wikidata.org/entity/P149,Architekturstil,X wurde im Y-Architekturstil konstruiert.,Ich kenne den Baustil für X nicht.,X wurde in den Y-Architekturstilen konstruiert.,TRUE,
http://www.wikidata.org/entity/P1532,Land (Sport),X steht für Y.,"Ich weiß nicht, welches Land X repräsentiert.",X steht für Y.,TRUE,
http://www.wikidata.org/entity/P1533,Familienname identisch zu diesem Vornamen,X hat einen Familiennamen Y.,Ich kenne den Familiennamen von X nicht.,X hat die Familiennamen Y.,TRUE,
http://www.wikidata.org/entity/P1542,Ursache von,X ergibt Y.,"Ich weiß nicht, woraus X resultiert.",X ergibt Y.,TRUE,
http://www.wikidata.org/entity/P157,getötet durch,X wurde von Y getötet.,"Ich weiß nicht, wer X getötet hat.",X wurde von Y getötet.,TRUE,
http://www.wikidata.org/entity/P1576,Lebensstil,Der Lebensstil von X ist Y.,Ich weiß nichts über den Lebensstil von X.,Die Lebensstiel von X sind Y.,TRUE,
http://www.wikidata.org/entity/P159,Hauptverwaltung,Y ist der Hauptsitz von X.,"Ich weiß nicht, wo sich der Hauptsitz von X befindet.",Y sind die Hauptsitze von X.,TRUE,
http://www.wikidata.org/entity/P16,Straßennetz,X ist Teil von Y.,"Ich weiß nicht, zu welchem Autobahnsystem X gehört.",X ist Teil von Y.,TRUE,
http://www.wikidata.org/entity/P161,Darsteller,Y hat an X teilgenommen.,"Ich weiß nicht, wo X teilgenommen hat.",Y haben an X teilgenommen.,TRUE,
http://www.wikidata.org/entity/P162,Produzent,X wird von Y produziert.,"Ich weiß nicht, wer X produziert hat.",X wird von Y produziert.,TRUE,
http://www.wikidata.org/entity/P163,Flagge,X hat Y.,"Ich weiß nicht, welche Flagge X hat.",X hat Y.,TRUE,
http://www.wikidata.org/entity/P166,Auszeichnung,X wurde mit dem Y ausgezeichnet.,"Ich weiß nicht, welche Auszeichnung X erhalten hat.",X wurde mit den Y ausgezeichnet.,TRUE,
http://www.wikidata.org/entity/P169,Geschäftsführer,Der CEO von X ist Y.,Ich kenne den CEO von X nicht.,Die CEO von X sind Y.,TRUE,
http://www.wikidata.org/entity/P17,Staat,Das Land von X ist Y.,"Ich weiß nicht, was das Land von X ist.",Die Länder von X sind Y.,TRUE,
http://www.wikidata.org/entity/P170,Urheber,X wird von Y erstellt.,"Ich bin mir nicht sicher, wer X erstellt hat.",X wird von Y erstellt.,TRUE,
http://www.wikidata.org/entity/P172,Bevölkerungsgruppe,Die Ethnie von X ist Y.,Ich habe keine Informationen über die Ethnizität von X.,Die Ethnien von X sind Y.,TRUE,
http://www.wikidata.org/entity/P175,Interpret,Y ist der Interpret von X.,Ich habe keine Informationen über die Interpreten von X.,Y sind die Interpreten von X.,TRUE,
http://www.wikidata.org/entity/P1750,Namenstag,Der Namenstag von X ist am Y.,Ich kann den Namenstag von X nicht finden.,Die Namenstage von X sind am Y.,TRUE,
http://www.wikidata.org/entity/P176,Hersteller,X wurde von Y gebaut.,"Ich bin mir nicht sicher, wer X gebaut hat.",X wurde von Y gebaut.,TRUE,
http://www.wikidata.org/entity/P177,Querung,Das X überquert das Y.,"Ich weiß nicht, was X überquert.",Das X überquert die Y.,TRUE,
http://www.wikidata.org/entity/P178,Entwickler,X wurde von Y entwickelt.,"Ich weiß nicht, wer X entwickelt hat.",X wurde von Y entwickelt.,TRUE,
http://www.wikidata.org/entity/P180,Motiv,X stellt Y dar.,"Ich bin mir nicht sicher, was X darstellt.",X stellt Y dar.,TRUE,
http://www.wikidata.org/entity/P183,endemisch in,X ist endemisch in Y.,"Ich weiß nicht, ob X endemisch ist.",X ist endemisch in Y.,TRUE,
http://www.wikidata.org/entity/P184,Promotionsbetreuer,Der Doktorvater von X war Y.,"Ich kann mich nicht erinnern, wer der Doktorvater von X war.",Die Doktorväter von X waren Y.,TRUE,
http://www.wikidata.org/entity/P186,Material,Das X ist aus Y gefertigt.,"Ich bin mir nicht sicher, woraus X gemacht ist.",Das X ist aus Y gefertigt.,TRUE,
http://www.wikidata.org/entity/P1884,Haarfarbe,Die Haarfarbe von X ist Y.,Ich habe keine Daten über die Haarfarbe X.,Die Haarfarben von X sind Y.,TRUE,
http://www.wikidata.org/entity/P1885,Kathedrale,X ist die Kathedrale von Y.,"Ich weiß nicht, welche Kathedrale X hat.",X ist die Kathedrale von Y.,TRUE,
http://www.wikidata.org/entity/P189,Fundort,X wurde in Y entdeckt.,"Ich bin mir nicht sicher, wo X entdeckt wurde.",X wurde in Y entdeckt.,TRUE,
http://www.wikidata.org/entity/P19,Geburtsort,X wurde in Y geboren.,"Ich weiß nicht, wo X geboren wurde.",X wurde in Y geboren.,TRUE,
http://www.wikidata.org/entity/P190,Partnerkommune,X ist eine Partnerkommune von Y.,"Ich weiß nicht, womit X gepaart ist.",X ist eine Partnerkommune von Y.,TRUE,
http://www.wikidata.org/entity/P1923,teilnehmendes Team,Y hat an X teilgenommen,"Ich weiß nicht, wer an X teilgenommen hat.",Y haben an X teilgenommen,TRUE,
http://www.wikidata.org/entity/P193,Generalbauunternehmer,X wurde von Y erbaut.,"Ich bin mir nicht sicher, wer X gebaut hat.",X wurde von Y erbaut.,TRUE,
http://www.wikidata.org/entity/P194,gesetzgebende Körperschaft,Die Legislative von X wird durch Y vertreten.,Ich kenne das Gesetzgebungsorgan von X nicht.,Die Legislative von X wird durch Y vertreten.,TRUE,
http://www.wikidata.org/entity/P195,Sammlung,X ist Teil einer Sammlung in Y.,"Ich bin mir nicht sicher, in welcher Kollektion X ist.",X ist Teil einer Sammlung in Y.,TRUE,
http://www.wikidata.org/entity/P196,Asteroidengruppe,X ist Teil der Asteroidengruppe Y.,"Ich bin mir nicht sicher, zu welcher Asteroidengruppe X gehört.",X ist Teil der Asteroidengruppen Y.,TRUE,
http://www.wikidata.org/entity/P197,nächster Haltepunkt,Y ist der nächste Haltepunkt von X.,Ich kann den nächsten Haltepunkt von  X nicht finden.,Y sind die nächsten Haltepunkte von X.,TRUE,
http://www.wikidata.org/entity/P1990,gehaltene Arten,X wird in Y gehalten.,"Ich bin mir nicht sicher, wo X gehalten wird.",X wird in Y gehalten.,TRUE,
http://www.wikidata.org/entity/P1995,medizinisches Fachgebiet,Das medizinische Fachgebiet von X ist Y.,Ich habe keine Daten über das medizinische Fachgebiet von X.,Die medizinischen Fachgebiete  von X sind Y.,TRUE,
http://www.wikidata.org/entity/P20,Sterbeort,Der Sterbeort von X war Y.,Ich kenne den Sterbeort von X nicht.,Die Sterbeorte von X waren Y.,TRUE,
http://www.wikidata.org/entity/P200,Zufluss,Y fließt in das X.,"Ich weiß nicht, was in das X fließt.",Y fließen in das X.,TRUE,
http://www.wikidata.org/entity/P201,Abfluss,X fließt in Y ab.,"Ich weiß nicht, in was X abfließt.",X fließt in Y ab.,TRUE,
